;user;comment
81;"
Romina ";"
hola mi nombre es Romina me gusta este foro la verdad que si e podido ser parte de  de esta aplicación que es el aula virtual cuando inicie en el pre de la  facultad uncuyo de ciencias políticas y es muy importante en la ora de comunicarnos para poder aprender, saber escuchar el otro,saber trabajar, y sacarnos dudas al preguntar a nuestros profesores .
me inscribir en la Tec.agronomia tengo una base del secundario y espero aprender mucho mas y poder terminar esta etapa saludos.
"
82;"
ariana ";"
hola soy de 1.2 alguien sabe donde tengo que subir las activididades
"
83;"
Equipo TIC ";"
Hola Ariana, esta página e tutoriales donde consultas pertenece al Ministerio de Educación de la Nación y no conocemos donde cursas. Por favor contactate con el administrador del campus de tu institución o con tu docente que seguramente sabrá guiarte. Podemos ofrecerte un tutorial genérico sobre la resolución de actividades que tal vez coincida con lo que te han solicitado.
"
84;"
Victoria ";"
Hola! Soy Galarza Victoria, es la primera vez que participo del foro. Estoy muy contenta de ser parte del mismo, poder compartir mis ideas. Saludos…
"
85;"
camila ";"
muy bueno
"
86;"
Melisa ";"
Hola que tal soy Melisa Bertran estoy en 1º 2da del profesorado de nivel primario, paso un poco a comentar una de las consignas de la 1er clase donde nos invitan a presentarnos entre otras cosas…siempre quise estudiar esta carrera como asi tambien el profesorado de educacion fisica el cual me quedan 2 materias decidi primero hacer el prof de ed fisica por el tema de que es mas exigido en cuanto a deportes etc.
 Me inscribi en la Escuela Mariano Moreno Nº 36 para hacer el profesorado por las buenas recomendaciones que tengo de amigas que se han recibido en dicha carrera.
Tengo una duda respecto a el cursado …se que es virtual pero mi duda es si es de esta manera..o realizaremos encuentros por zoom en el horario de mi turno elegido. Desde ya muchisimas gracias.
"
87;"
Tatiana ";"
Ya participe en los foros y si se me complico un poco porque todo esto es nuevo para mi pero poquito a poquito voy a ir aprendiendo.
"
88;"
Judith ";"
Hola buenas tardes ! Excelente explicado todo ! ya he participado en algunos foros , la verdad muy conforme .. Saludos .
"
89;"
johana ";"
muy buena explicación simple, concreta y concisa.
"
90;"
Rocio ";"
HE PARTICIPADO EN LOS FOROS! MUY UTIL!
"
91;"
Cecilia ";"
Hola…
Participe en los foros lo único que me costó que no entendía era cuando pedian algo con el adjunto. Pero ya voy aprendiendo…gracias
"
92;"
hector fabian Perez ";"
Buenas Trades, hoy recien comienzo a utilizar nuevamente el campus depues del Introductorio, el campus virtual, veo que es una herramiento uttil para el desarollo de la carrera por motivo de estos tiempos de Pandemia, estoy dispuesto a interiorizarme en esta  herramienta para desarollar el estudio de esta Profecion. saludo a todo espero poder estar a la altura de la circunstancia de el desarollo de la carrera.
"
93;"
Lourdes Cortez ";"
Hola Buenas noches, Soy Lourdes Cortez, trabajo en la Municipalidad de las Heras, tengo 41 años, soy casada y tengo dos hijas. Me inscribí en la tecnicatura de administración pública, para obtener más conocimientos y superarme tanto en lo laboral, como personal y poder aplicar lo aprendido para  un  mejor desempeño y beneficio para los vecinos que acuden a los servicios que ofrecemos y prestamos. Espero lograr mis objetivos. Éxitos  para todos!!!
"
94;"
Eva ";"
Hola, como estudiante es para mi una excelente herramienta  como contacto virtual con el estudio-aprendizaje y evaluación de contenidos, es dinámico y nos acerca al mundo laboral del futuro, y mas …
"
95;"
Melissa ";"
Concuerdo Contigo es una Excelente forma de aprendizaje  es muy accesible para todos   es una forma Mejorada de Educarnos atravez de los dispositivos que mas usamos Me llama Melissa
"
96;"
Sebastian Ortiz ";"
Me llamo  Sebastian mucho gusto a todos los docentes formadores de la carrera y a mis colegas
"
97;"
Roxana ";"
Hola muy valioso la información de los colegas.
"
98;"
Elena Renoulin ";"
Muchas gracias por las indicaciones, saludos!
"
99;"
Daniela ";"
Muchas gracias por la información.
"
100;"
Brian Ezequiel Dure ";"
Muchas Gracias
"
101;"
Mariana ";"
Muchas gracias por la informacion
"
102;"
Laura ";"
Muy útil la info..
"
103;"
Damaris ";"
Muchas gracias por la información!
"
104;"
Natalia ";"
Buenas noches, muchas gracias por la información estaré pendiente de la información que sigan compartiendo.
"
105;"
sandra ";"
Buenas noches gracias por aportar toda esa información la cual nos puede ayudar durante todo este proceso
"
106;"
Emilce ";"
Muchas gracias! Ahora se aclararon mis dudas..
"
107;"
KARINA G RUIZ ";"
Gracias por el aporte. slds
"
108;"
VANESSA CASTELAN ";"
saludos
muy buen curso, excelentes aportaciones compañeros
"
109;"
Indicaciones de requisitos ";"
El foro ayuda bastante como apoyo a los estudiantes, cualquier duda que tenga puede ser solventada con mayor claridad, también hay que tener en cuenta los requisitos que son necesarios para el uso y registro del foro, todos los usuarios deben respetar la normal y reglas
"
110;"
Stella Maris Civilotti ";"
Muy buen aporte gracias
"
111;"
Verónica ";"
Muy buenas y útiles las recomendaciones gracias!
"
112;"
Remon Garza Rangel ";"
Me parece de gran ayuda, para los que estamos empezando el curso muy buenos consejos
"
113;"
JULIO ARIEL ";"
MUCHAS GRACIAS POR LA INFORMACION,TRATARE DE DAR  MI PUNTO DE VISTA DE ACUERDO AL TEMA CORRESPONDIENTE
"
114;"
hugo rivera ";"
Gracias por la información es de gran utilidad
"
115;"
Blanca Isela Juárez Mendoza ";"
Es muy importante la retroalimentación entre los participantes del curso, gracias por sus comentarios.
"
116;"
Luz Elena Alfaro Orozco ";"
Muchas gracias por su apoyo y retroalimentación para las actividades que se estarán realizando en el curso que estamos tomando será de gran utilidad para poder apoyarnos con cada una de nuestras dudas, su experiencia es de gran ayuda.
"
117;"
María de Lourdes Garibay Juárez ";"
Gracias por la información, todavía no me es fácil , pero estoy poniendo todo mi esfuerzo para salir adelante en este curso.
"
118;"
Angelica Hernández ";"
Agradezco la información y consejos proporcionados para llevar a cabo nuestras actividades, por estas oportunidades de capacitación y desarrollo, ante el servicio que damos en nuestro ámbito laboral.
"
119;"
María Magdalena Altamirano Flores ";"
buen día gracias por su información yo soy nueva en esto de cursos en línea, pero tratando de actualizarme al uso de la tecnología
"
120;"
amy ";"
Muchas gracias por la información
"
121;"
Amairany ";"
La información es muy importante, ya que los consejos proporcionados son muy claros y de mucha ayuda, ya que participar en un foro de discusión debe ser muy claro.
"
122;"
Imelda Martínez Castillo ";"
buenas tardes gracias por los contenidos es parte del aprendizaje, sugiero nos puedan poner mas enlaces que sean confiables.
"
123;"
Virginia Hernández Velázquez ";"
Muchas gracias, estoy empezando a usar los foros y la información que nos  aportan me será de gran utilidad. Para saber la manera adecuada de participar.
"
124;"
Alajandro Serrano Alvarez ";"
Hola, es un poco complicado en mi persona tomar estos cursos en línea, por situaciones adversas como mal internet y la verdad me gusta más los cursos presenciales, sin embargo aquí estoy intentando dar mi mejor esfuerzo y tiempo para salir avante en esta capacitación, sino apruebo cuando menos me llevo más conocimiento, gracias
"
125;"
LETICIA RAMÍREZ JUÁREZ ";"
Buena Tarde
Es la primera vez que tomo un curso como este, sinceramente no estoy nada familiarizada con este tipo de cursos en linea, me llamo la atención por el titulo  aprendamos a redactar (Básico) yo considero que me ayudara a tener una mejor redacción  ya que en mi empleo normalmente tenemos que hacer oficios dirigidos a varias dependencias de la  CDMX , espero tener un buen aprovechamiento de este y con ello tener una buena acreditación.
"
126;"
Angel ";"
Creo que este tipo de interlocusión a través de los Foros, nos permite manifestarnos y emitir nuestras opiniones personales, pero también comentar las posiciones y propuestas de nuestros compañeros. Se trata de retroalimentar y ser abiertos y receptivos de las críticas constructivas de nuestros compañeros. Saludos
"
127;"
Jonny Martinez ";"
Los cursos en linea son el nuevo paradigma de la formación, ahorran tiempo y dinero
"
128;"
Mariana hernandez Feliciano ";"
Es muy importantes saber que los cursos en linea son importantes..ya que son nuevas paradigmas que nos enseñan nuevas cosas
"
129;"
paris ";"
Es sierto es un sitio muy util para aprender nuevas cosas
"
130;"
Jonny Martinez ";"
Mu interesante la información para tener una participación mas eficiente, yo participo mucho en foros sobre marketing digital, y esto me ayuda muchos. gracias.
"
131;"
ricardofelani ";"
Compre dinero falso en línea whatsapp +370 66308329 Accesorios de películas: nuestros billetes falsos de $ 100 se pueden usar en fiestas, magia, videos y también se pueden usar como moneda falsa para juegos. Sustituto ideal de tus juegos de mesa favoritos. También es una buena idea reemplazar el dinero de monopolio.
Perfect Teaching Aid: es perfecto para que los maestros y los padres enseñen a sus niños y niñas matemáticas y administración del dinero. Y no tienen que preocuparse por dañar o perder los billetes auténticos. También se puede utilizar en cajas registradoras de juguete.
MIRADA MUY REAL: Nuestro accesorio de película se ve tan real. Por lo tanto, necesitamos marcas para distinguir entre auténtico y falso. Dice “Para fines cinematográficos” en la parte delantera y trasera.
Realista pero falso: impreso con tinta de alta calidad, sin decoloración, impresión completa en 2 lados. También es del mismo tamaño que el real.
Lo que obtienes: Recibirás billetes de dólar falsos, $20000. (200 piezas de $100).
"
132;"
Gómez Gabriela estefania. ";"
La verdad es que nos es de mucha ayuda asique estoy de acuerdo con mis compañeros .Desde ya,muchas gracias.
"
133;"
Paula ";"
La verdad en mí opinión con cuerdo con mis compañer@s ya que lo que han dicho es lo mismo que pienso
"
134;"
aracely ";"
es de ayuda la información
"
135;"
Silvana Miranda ";"
Buenas tardes es la primera vez que voy a utilizar un foro. Así es q lo haré con mucho cuidado y comparto lo q dicen mis compañeros
"
136;"
Lorelei Ortiz ";"
hola, soy Lorelei Ortiz, tengo 19 años, me egrese en el 2021
Intente estudiar el profesorado de teatro en la universidad de cuyo, pero no logre entrar y me tome un año sabático, este año también intente y tampoco no pude
este año se me presento esta oportunidad y no lo pensé dos veces.
Estoy emocionada por empezar
"
137;"
Pablo Gimenez ";"
Hola buen dia!!! Que tal me llamo pablo Gimenez, tengo 19 años.
 Estoy en el 1º del Prof. En Biología en estos momentos estoy cursando la etapa del SOE (Seminario El Oficio De Enseñar). En el eje 2 se nos anima a participar en este foro al dar nuestra reflexión de 2 ideas que no teníamos presente antes de cursar el SOE.
	1. Aprendí que un educador no deja de interrogar conceptos y teorías porque esto nos ayuda a comprender múltiples realidades y las diversas maneras en la que un educador (Profesor / Docente) puede trasmitir a las futuras generaciones.
Por eso podemos decir que un educador gracias al análisis y la reflexión de las teorías y conceptos, implementando lo anterior y lo nuevo del conocimiento y sus prácticas, manifiesta una mejor interacción con sus alumnos entre tiempo y saberes.  
	2. También el eje 2  me ayudo a comprender con mayor cabalidad que un verdadero educador genera un espacio o ambiente donde nacen nuevos  pensamientos y sentimientos, y que el docente busca en cada adolecente sentir la comodidad y la confianza de que puede lograr sus objetivos sin recibir algún tipo de prejuicio.
Claramente para lograr esto nuestros pensamientos, ideas y acciones a la hora de enseñar, deben ser impulsadas por amor Hacia la educación y la humanidad. 
 Muchas gracias!!!
"
138;"
Romina Cardozo ";"
Buenas tardes
Quiero compartir en el foro lo que el Eje dos me enseño y dejar reflexión de 2 ideas que no teníamos presente antes de cursar el SOE.
1 Me facilitó la comprensión de una visión de la enseñanza que pone como centro del proceso de enseñanza y aprendizaje al estudiante y la relación con lo que se va a aprender, si se toma en cuenta el aprendizaje como un proceso transformador de realidades, entonces todo lo que la persona aprenda, le servirá para poder aplicarlo en su cotidianeidad.
2   me encontré con todo lo contrario a lo que me habían enseñado en cuanto a las teorías educativas, pude percibir que las expectativas son diferentes a la realidades.
Cada estudiante opino,dio si idea… todos tuvimos la oportunidad de  transmitir nuestros pensamientos.
"
139;"
Leonardo Franco ";"
Hola soy Leonardo Franco , estoy haciendo el Prof. de Biologia y vengo a darles mi reflexion hacerca de esta actividad del eje 2 , y que me parece a mi de todo esto, de los conceptos de la educacion , aprendisaje y lo que brinda en la docencia:
-En la educación a edad temprana es el primer paso al conocimiento y el comienzo de construir una sociedad mejor y el deseo natural de aprender, y sobre todo la potencialidad. La educación puede definirse como el aprendizaje de aprender y la clave de la educación no es tan solo de enseñar, es también por el despertar del interés por aprender a través de diversos medios. Por cual uno de esos medios es el internet, en la que podemos encontrar una gran variedad de información y obtener mucho conocimiento, aprendemos de distintas formas en lo que nos beneficia en comprender de lo que estamos leyendo, lograr en acumular muchas enseñanzas debido a la explicación bien refutada de distintas editoriales que nos demuestran la información de otra perspectiva que puede ser adaptable para uno mismo y a su vez aceptable; que puede ser conveniente para la enseñanza, y no debe ser ignorada y que sea respetable. 
-Una de cosas que podemos aprender de distintos puntos de vista del ojo humano, de las ideologías que algunos son con bastante lógicas y a su vez pueden ser algo extrovertidas, y seria el caso de las Teorías  que según informan y documentan con toda la libertad, en compartir un material en que te pueda convencer y aferrarse de esa ideología, que te puede convencer y a su ves trasmitirla a las siguientes generaciones; lo más típico de que los han enseñado en que han muchas teorías de una sola cosa , pero eso nos enseña que hay lugar para aprender algo mas , de verlo del punto de vista científico o también de lo religioso, pero eso son las teorías, que hay una huella de dudas, de preguntas, de ideas, que hay siempre un debate en todo, eso lo que te brinda la educación. 
-En el mundo estamos rodeados de nuevos conocimientos a medida que pasa los tiempos, y a su ves de muchos maestros o profesores que nos preparan para estar capacitados para lo que sea, defendernos debido al aprendizaje adquirido por ellos y de eso nos aferramos; y a su vez cada maestro o persona que nos brinde una gran enseñanza por todas las experiencias que acumulo a lo largo de su vida y esas herramientas, esas enseñanzas y todo lo que aprendió, pasarla a la siguiente generación, que se vaya expandiendo pero también es que cada generación de esos conocimiento se vaya actualizando.
"
140;"
Leonardo Franco ";"
Hola soy Leonardo Franco, estoy haciendo el Prof. de Biología y vengo a darles mi reflexión acerca de esta actividad del eje 2 , y que me parece a mí de todo esto, de los conceptos de la educación , aprendizaje y lo que brinda en la docencia:
-En la educación a edad temprana es el primer paso al conocimiento y el comienzo de construir una sociedad mejor y el deseo natural de aprender, y sobre todo la potencialidad. La educación puede definirse como el aprendizaje de aprender y la clave de la educación no es tan solo de enseñar, es también por el despertar del interés por aprender a través de diversos medios. Por cual uno de esos medios es el internet, en la que podemos encontrar una gran variedad de información y obtener mucho conocimiento, aprendemos de distintas formas en lo que nos beneficia en comprender de lo que estamos leyendo, lograr en acumular muchas enseñanzas debido a la explicación bien refutada de distintas editoriales que nos demuestran la información de otra perspectiva que puede ser adaptable para uno mismo y a su vez aceptable; que puede ser conveniente para la enseñanza, y no debe ser ignorada y que sea respetable.
-Una de cosas que podemos aprender de distintos puntos de vista del ojo humano, de las ideologías que algunos son con bastante lógicas y a su vez pueden ser algo extrovertidas, y seria el caso de las Teorías que según informan y documentan con toda la libertad, en compartir un material en que te pueda convencer y aferrarse de esa ideología, que te puede convencer y a su ves trasmitirla a las siguientes generaciones; lo más típico de que los han enseñado en que han muchas teorías de una sola cosa , pero eso nos enseña que hay lugar para aprender algo mas , de verlo del punto de vista científico o también de lo religioso, pero eso son las teorías, que hay una huella de dudas, de preguntas, de ideas, que hay siempre un debate en todo, eso lo que te brinda la educación.
-En el mundo estamos rodeados de nuevos conocimientos a medida que pasa los tiempos, y a su ves de muchos maestros o profesores que nos preparan para estar capacitados para lo que sea, defendernos debido al aprendizaje adquirido por ellos y de eso nos aferramos; y a su vez cada maestro o persona que nos brinde una gran enseñanza por todas las experiencias que acumulo a lo largo de su vida y esas herramientas, esas enseñanzas y todo lo que aprendió, pasarla a la siguiente generación, que se vaya expandiendo pero también es que cada generación de esos conocimiento se vaya actualizando.
"
141;"
Oscar Alejandro Navarro ";"
Educador ( abarca a todos , concepto amplio).
Educar, es un acto político en el cual , no existe la diferencia social , aquí se deja una huella que afecta la vida de ambas partes (educador , educado) .
Con el paso del tiempo , los conceptos se van modificando y se requiere una constancia en actualización de saberes.
La educación se sirve como un “platillo” en dónde se ofrecen en la mesa una variedad de saberes , que no son condicionados por la cultura o contexto en el cual se disponga el aprendizaje.
El educar , produce efectos en el sujeto que le permite ser social , es decir habitar y dejarse habitar. A esto lo llamamos emancipación. (Relación inseparable entre la educación, el arte y la cultura que debe ser reflejada en los centros educativos).
"
